epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,633.607,1.66868,1.69137,1.28087,0.6174,0.56738,0.58629,0.36377,1.53397,1.35511,1.17766,0.000468651,0.000468651,0.000468651
2,1282.61,1.47601,1.13516,1.17667,0.66749,0.56334,0.61866,0.40428,1.43221,1.13316,1.15219,0.000898207,0.000898207,0.000898207
3,1945.56,1.44109,1.09697,1.16697,0.73062,0.56331,0.65293,0.42878,1.42276,1.10356,1.16062,0.00128061,0.00128061,0.00128061
4,2561.68,1.39416,1.05971,1.12452,0.71072,0.58418,0.66255,0.44303,1.34849,1.04499,1.11716,0.00121679,0.00121679,0.00121679
5,3176.68,1.36536,1.0336,1.12427,0.67879,0.63624,0.68315,0.45128,1.35126,1.02482,1.10763,0.00114606,0.00114606,0.00114606
6,3783.76,1.33498,0.99255,1.11729,0.69507,0.60938,0.69392,0.46643,1.34141,1.01923,1.10845,0.00107532,0.00107532,0.00107532
7,4392.9,1.33645,0.98653,1.1163,0.69499,0.62917,0.69164,0.46708,1.3025,0.97607,1.09483,0.00100459,0.00100459,0.00100459
8,5001.04,1.28594,0.93891,1.08511,0.679,0.6474,0.6924,0.46587,1.31608,0.96835,1.10524,0.000933851,0.000933851,0.000933851
9,5611.58,1.2896,0.94748,1.09496,0.69719,0.64826,0.70168,0.47695,1.28588,0.95468,1.09212,0.000863116,0.000863116,0.000863116
10,6249.44,1.25791,0.91995,1.07698,0.71238,0.64786,0.71533,0.49183,1.27086,0.94095,1.07894,0.00079238,0.00079238,0.00079238
11,6892.56,1.28543,0.94504,1.09202,0.71951,0.64427,0.71489,0.48746,1.27571,0.94952,1.08097,0.000721645,0.000721645,0.000721645
12,7573.17,1.26456,0.91909,1.08174,0.71769,0.65005,0.71622,0.49428,1.25959,0.93353,1.07497,0.000650909,0.000650909,0.000650909
13,8237.81,1.2421,0.90197,1.06699,0.72476,0.6645,0.72727,0.50603,1.23334,0.91657,1.06437,0.000580174,0.000580174,0.000580174
14,8957.19,1.22603,0.88717,1.06033,0.72226,0.65126,0.72308,0.50178,1.23271,0.90699,1.06043,0.000509438,0.000509438,0.000509438
15,9635.59,1.21944,0.8792,1.06755,0.71146,0.67369,0.72655,0.50466,1.22707,0.90611,1.06631,0.000438703,0.000438703,0.000438703
16,10327.6,1.20226,0.87272,1.05248,0.71573,0.66717,0.73522,0.51174,1.22181,0.89213,1.06386,0.000367967,0.000367967,0.000367967
17,11005.3,1.18881,0.8563,1.05047,0.71898,0.68038,0.73927,0.51813,1.20786,0.88309,1.05556,0.000297232,0.000297232,0.000297232
18,11658.8,1.17195,0.83892,1.04336,0.71866,0.66934,0.73448,0.51283,1.21229,0.88127,1.05563,0.000226497,0.000226497,0.000226497
19,12290,1.16683,0.82902,1.03904,0.72735,0.67408,0.74381,0.51982,1.19784,0.86689,1.04933,0.000155761,0.000155761,0.000155761
20,12933.6,1.15153,0.81708,1.02771,0.74184,0.66897,0.74572,0.52551,1.19002,0.86171,1.04568,8.50255e-05,8.50255e-05,8.50255e-05
