epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,645.17,1.17861,0.84739,1.04171,0.69775,0.68198,0.72944,0.50224,1.24067,0.9234,1.07439,0.000468651,0.000468651,0.000468651
2,1283.36,1.20565,0.87137,1.0557,0.69151,0.6697,0.71449,0.48663,1.27832,0.94083,1.08162,0.000913799,0.000913799,0.000913799
3,1914.46,1.23084,0.89493,1.07327,0.70574,0.63311,0.7047,0.4807,1.30426,0.97657,1.10379,0.00132751,0.00132751,0.00132751
4,2597.16,1.22039,0.89723,1.0551,0.70798,0.64394,0.70657,0.47948,1.29058,0.96606,1.09284,0.00128753,0.00128753,0.00128753
5,3286.44,1.22312,0.89602,1.06458,0.72407,0.65257,0.71667,0.49124,1.2673,0.929,1.07896,0.00124037,0.00124037,0.00124037
6,3964.25,1.20398,0.86516,1.05953,0.68847,0.67507,0.71444,0.48649,1.28295,0.93044,1.08676,0.00119322,0.00119322,0.00119322
7,4675.42,1.21558,0.87425,1.06169,0.68309,0.68731,0.71227,0.48653,1.26046,0.92009,1.08325,0.00114606,0.00114606,0.00114606
8,5349.41,1.16903,0.83069,1.0385,0.69862,0.67284,0.71294,0.49176,1.25586,0.91459,1.07906,0.0010989,0.0010989,0.0010989
9,6022.36,1.17745,0.84758,1.04722,0.72296,0.65243,0.7191,0.49609,1.25398,0.90941,1.08142,0.00105174,0.00105174,0.00105174
10,6693.45,1.17055,0.83151,1.03954,0.71657,0.66559,0.72718,0.4966,1.2669,0.91664,1.08619,0.00100459,0.00100459,0.00100459
11,7339.09,1.18928,0.85684,1.05399,0.72437,0.65528,0.73141,0.50033,1.25056,0.90975,1.07269,0.00095743,0.00095743,0.00095743
12,8036.74,1.18359,0.84619,1.05221,0.7114,0.66522,0.73125,0.50317,1.24034,0.90728,1.06665,0.000910273,0.000910273,0.000910273
