epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,518.438,1.51813,1.81327,1.4078,0.64488,0.59883,0.60408,0.32364,1.26502,2.21622,1.59884,0.00066087,0.00066087,0.00066087
2,997.445,1.4679,1.44119,1.39116,0.66218,0.59463,0.61062,0.31336,1.41287,2.14802,1.76759,0.00119611,0.00119611,0.00119611
3,1475.38,1.44648,1.30584,1.38227,0.73501,0.6821,0.72414,0.40857,1.24128,1.5796,1.56458,0.00159935,0.00159935,0.00159935
4,1950.43,1.36636,1.19175,1.35031,0.75558,0.6798,0.73192,0.43095,1.16884,1.42523,1.50734,0.001406,0.001406,0.001406
5,2422.56,1.35118,1.11975,1.3253,0.77418,0.72461,0.77369,0.45885,1.18553,1.43565,1.47372,0.001208,0.001208,0.001208
6,2896.19,1.29446,1.04567,1.28039,0.77602,0.74072,0.78543,0.49432,1.0145,1.10274,1.31413,0.00101,0.00101,0.00101
7,3370.84,1.23561,0.98896,1.24979,0.79327,0.764,0.80566,0.51723,0.99444,1.09887,1.31496,0.000812,0.000812,0.000812
8,3849.23,1.14431,0.92612,1.21929,0.83356,0.78031,0.82828,0.54248,0.91295,0.94995,1.23232,0.000614,0.000614,0.000614
9,4334.15,1.11213,0.87972,1.18235,0.82962,0.79664,0.8439,0.56869,0.85672,0.8506,1.17112,0.000416,0.000416,0.000416
10,4812.59,1.10388,0.83948,1.16731,0.83664,0.8047,0.85134,0.58051,0.81372,0.8139,1.13612,0.000218,0.000218,0.000218
