epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,433.634,1.79913,3.24045,1.62694,0.48146,0.4348,0.32565,0.11254,2.00819,2.77345,1.871,0.000332943,0.000332943,0.0670386
2,857.205,1.65908,2.48188,1.60767,0.55391,0.41979,0.44543,0.18177,1.92481,2.27115,1.74681,0.000644289,0.000644289,0.0340167
3,1267.35,1.61711,2.22683,1.59553,0.73809,0.50591,0.52706,0.22814,1.73689,2.02431,1.66879,0.000933635,0.000933635,0.000972667
4,1666.69,1.55412,2.09358,1.54813,0.78658,0.53261,0.61172,0.28409,1.74619,1.76555,1.68365,0.000901,0.000901,0.000901
5,2113.64,1.53092,1.95799,1.53564,0.74632,0.62917,0.70396,0.31779,1.8026,1.67275,1.69481,0.000868,0.000868,0.000868
6,2512.04,1.48737,1.83303,1.48801,0.7498,0.60092,0.68271,0.36058,1.5443,1.68115,1.53007,0.000835,0.000835,0.000835
7,2898.66,1.44665,1.78389,1.46361,0.83126,0.68373,0.80293,0.40045,1.66136,1.55254,1.61435,0.000802,0.000802,0.000802
8,3307.15,1.43226,1.71069,1.4653,0.86867,0.68992,0.77192,0.39751,1.533,1.52681,1.53881,0.000769,0.000769,0.000769
9,3703.93,1.42385,1.67652,1.44852,0.8407,0.67587,0.76931,0.45016,1.4394,1.32812,1.52793,0.000736,0.000736,0.000736
10,4093.25,1.38605,1.6094,1.43871,0.8466,0.77204,0.86639,0.45234,1.65062,1.313,1.58373,0.000703,0.000703,0.000703
11,4474.66,1.38146,1.50576,1.39982,0.87375,0.7719,0.85498,0.51308,1.39847,1.4505,1.46408,0.00067,0.00067,0.00067
12,4880.99,1.36035,1.50462,1.40308,0.79691,0.81875,0.84082,0.49173,1.50955,1.21254,1.48498,0.000637,0.000637,0.000637
13,5261.77,1.34121,1.46461,1.39913,0.79066,0.81163,0.85163,0.46319,1.49195,1.38594,1.50869,0.000604,0.000604,0.000604
14,5642.04,1.35118,1.45,1.40055,0.85859,0.83385,0.90928,0.53525,1.41483,1.37632,1.43888,0.000571,0.000571,0.000571
15,6020.8,1.32062,1.40738,1.371,0.8185,0.78704,0.87837,0.52437,1.40397,1.21288,1.43459,0.000538,0.000538,0.000538
16,6398.95,1.3367,1.38078,1.38915,0.85487,0.83324,0.90409,0.54023,1.45402,1.4951,1.45537,0.000505,0.000505,0.000505
17,6779.98,1.28835,1.31321,1.36051,0.86672,0.86267,0.91551,0.59141,1.27078,1.0504,1.36482,0.000472,0.000472,0.000472
18,7170.23,1.28853,1.3349,1.35478,0.82173,0.85786,0.89715,0.55647,1.32726,1.09352,1.37129,0.000439,0.000439,0.000439
19,7567.18,1.2636,1.29367,1.35301,0.89862,0.82329,0.92339,0.59946,1.26816,0.95178,1.34494,0.000406,0.000406,0.000406
20,7997.78,1.25773,1.2508,1.3379,0.89727,0.83701,0.94341,0.6323,1.17129,0.99378,1.30465,0.000373,0.000373,0.000373
21,8391.62,1.12505,0.95213,1.28536,0.82625,0.88929,0.9386,0.62771,1.20339,0.99911,1.30488,0.00034,0.00034,0.00034
22,8783.18,1.12046,0.89803,1.2857,0.92267,0.89731,0.96306,0.6446,1.18493,0.96266,1.27643,0.000307,0.000307,0.000307
23,9172.34,1.09411,0.86232,1.26317,0.89688,0.88662,0.94695,0.6396,1.16052,1.02308,1.2903,0.000274,0.000274,0.000274
24,9563.95,1.08377,0.83544,1.26229,0.94835,0.87129,0.94938,0.64618,1.17323,0.96963,1.28458,0.000241,0.000241,0.000241
25,9962.12,1.06531,0.81715,1.24668,0.91788,0.89929,0.96153,0.66594,1.13428,0.92242,1.26409,0.000208,0.000208,0.000208
26,10350,1.04888,0.78521,1.23182,0.91958,0.93463,0.96433,0.66586,1.09551,0.90221,1.25417,0.000175,0.000175,0.000175
27,10740.5,1.03467,0.75743,1.22687,0.96856,0.91681,0.97041,0.66805,1.12889,0.95782,1.25977,0.000142,0.000142,0.000142
28,11142.2,1.03307,0.75478,1.20632,0.95312,0.91327,0.96227,0.66396,1.12402,0.92409,1.26548,0.000109,0.000109,0.000109
29,11536.7,1.03022,0.73962,1.21867,0.89407,0.93928,0.96731,0.66687,1.11257,0.86709,1.25766,7.6e-05,7.6e-05,7.6e-05
30,11936,0.98633,0.71726,1.19466,0.92828,0.94091,0.96837,0.67164,1.12953,0.93595,1.25781,4.3e-05,4.3e-05,4.3e-05
