epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1141.59,1.59486,2.35107,1.56679,0.31473,0.30631,0.21116,0.10832,1.74739,2.77233,1.89901,0.000553164,0.000553164,0.000553164
2,2293.13,1.72448,2.24887,1.69301,0.37973,0.27761,0.25402,0.13997,1.88081,2.73953,1.91351,0.00107747,0.00107747,0.00107747
3,3540.35,1.72195,2.22144,1.68229,0.34773,0.37789,0.28324,0.15455,1.84103,2.40807,1.91072,0.00157033,0.00157033,0.00157033
4,4794.35,1.7274,2.19346,1.6931,0.4834,0.42492,0.40517,0.23085,1.75869,2.01477,1.8477,0.00152554,0.00152554,0.00152554
5,5933.25,1.64783,2.02448,1.63562,0.53096,0.47687,0.46493,0.25954,1.62384,1.82537,1.65731,0.00147839,0.00147839,0.00147839
6,7129.69,1.58498,1.86167,1.57173,0.68186,0.45209,0.51591,0.30309,1.54376,1.75607,1.60529,0.00143124,0.00143124,0.00143124
7,8455.25,1.52954,1.84922,1.55948,0.64807,0.4705,0.51213,0.29624,1.51415,1.74255,1.59794,0.00138409,0.00138409,0.00138409
8,9777.32,1.50594,1.75339,1.52748,0.55567,0.55272,0.52794,0.3199,1.5026,1.66068,1.57488,0.00133693,0.00133693,0.00133693
9,11087.2,1.46987,1.6617,1.48764,0.50532,0.59927,0.49912,0.30826,1.48007,1.64457,1.53687,0.00128978,0.00128978,0.00128978
10,12242.7,1.45359,1.62828,1.47162,0.62922,0.60332,0.60007,0.37299,1.37809,1.48206,1.47979,0.00124263,0.00124263,0.00124263
11,13363.4,1.42487,1.56901,1.46838,0.60591,0.54545,0.56736,0.36091,1.3647,1.53295,1.47161,0.00119548,0.00119548,0.00119548
12,14510.7,1.38106,1.51892,1.43174,0.58711,0.65085,0.59368,0.37187,1.40432,1.54445,1.52227,0.00114832,0.00114832,0.00114832
13,15791.1,1.36307,1.49777,1.42759,0.67842,0.58784,0.61193,0.39051,1.33385,1.44828,1.44228,0.00110117,0.00110117,0.00110117
14,17124.4,1.35505,1.46195,1.41355,0.61508,0.59422,0.59403,0.36421,1.32801,1.50692,1.43443,0.00105402,0.00105402,0.00105402
15,18457.3,1.32837,1.39194,1.37342,0.67761,0.60744,0.6024,0.36489,1.35308,1.45245,1.45969,0.00100687,0.00100687,0.00100687
16,19716.3,1.27558,1.33672,1.36096,0.65645,0.61531,0.62152,0.39725,1.30302,1.38437,1.42596,0.000959716,0.000959716,0.000959716
17,20872.5,1.27513,1.32205,1.35818,0.67774,0.661,0.66117,0.41759,1.30155,1.35546,1.40185,0.000912563,0.000912563,0.000912563
18,22025.7,1.24254,1.28131,1.33703,0.64947,0.64412,0.65426,0.42772,1.29172,1.30141,1.40023,0.000865411,0.000865411,0.000865411
19,23189.7,1.23279,1.25478,1.32658,0.66876,0.58233,0.6443,0.41279,1.28193,1.38014,1.40116,0.000818259,0.000818259,0.000818259
20,24362.6,1.22315,1.24452,1.32708,0.70578,0.59581,0.65149,0.42924,1.24568,1.34114,1.3845,0.000771107,0.000771107,0.000771107
21,25519.5,1.18752,1.19438,1.29792,0.72756,0.64861,0.66258,0.43484,1.24831,1.30654,1.38654,0.000723954,0.000723954,0.000723954
22,26674.2,1.18743,1.14454,1.29149,0.72563,0.65216,0.69091,0.45794,1.22857,1.21992,1.37115,0.000676802,0.000676802,0.000676802
23,27829.7,1.14533,1.11889,1.26254,0.73278,0.6013,0.66324,0.44573,1.18259,1.28867,1.34203,0.00062965,0.00062965,0.00062965
24,28989,1.14848,1.10949,1.2668,0.68448,0.6493,0.67018,0.44279,1.23161,1.27823,1.36712,0.000582497,0.000582497,0.000582497
25,30151.9,1.14293,1.07044,1.25368,0.68582,0.6809,0.68038,0.44998,1.20727,1.23571,1.35089,0.000535345,0.000535345,0.000535345
26,1096.29,1.08313,0.97126,1.2458,0.73016,0.62812,0.67827,0.45919,1.15599,1.23494,1.36143,0.000488193,0.000488193,0.000488193
27,2230.31,1.05315,0.89719,1.21506,0.74896,0.66738,0.69579,0.46778,1.19466,1.18164,1.36054,0.000441041,0.000441041,0.000441041
28,3374.69,1.03968,0.87958,1.21193,0.74551,0.59945,0.67704,0.45962,1.20189,1.223,1.36924,0.000393888,0.000393888,0.000393888
29,4519.64,0.99744,0.83279,1.17792,0.76699,0.64538,0.6905,0.46695,1.17347,1.22054,1.33864,0.000346736,0.000346736,0.000346736
30,5664.7,0.96787,0.7859,1.15058,0.74703,0.65934,0.68834,0.4622,1.20819,1.19154,1.37348,0.000299584,0.000299584,0.000299584
31,6810.29,0.96216,0.76508,1.15502,0.78693,0.64379,0.703,0.48228,1.184,1.19468,1.34607,0.000252431,0.000252431,0.000252431
32,7956.28,0.94679,0.74076,1.14056,0.73623,0.68937,0.70606,0.49188,1.13316,1.14616,1.31697,0.000205279,0.000205279,0.000205279
33,9103.4,0.92412,0.70365,1.1176,0.72945,0.68133,0.70362,0.48328,1.16896,1.14791,1.35718,0.000158127,0.000158127,0.000158127
34,10249.7,0.9151,0.68991,1.12314,0.77721,0.65469,0.71521,0.4976,1.15722,1.15574,1.33334,0.000110975,0.000110975,0.000110975
35,11395.8,0.90794,0.68053,1.11938,0.75168,0.68133,0.71681,0.50104,1.13817,1.11459,1.31778,6.38223e-05,6.38223e-05,6.38223e-05
