epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,878.978,1.51299,1.86558,1.37774,0.78473,0.4324,0.5544,0.27476,1.0429,1.27178,1.04354,0.000166221,0.000166221,0.066922
2,1125.26,1.46469,1.66399,1.33063,0.44128,0.71791,0.59877,0.30806,0.90846,1.65693,0.95233,0.000324649,0.000324649,0.0337471
3,1371.19,1.37407,1.51827,1.28442,0.61334,0.6905,0.71583,0.38617,0.92869,1.49792,0.97635,0.000474826,0.000474826,0.000563953
4,1613.91,1.36061,1.47731,1.25784,0.46943,0.64079,0.50655,0.24305,0.98939,2.49989,1.01381,0.000462875,0.000462875,0.000462875
5,1855.96,1.37138,1.53995,1.25487,0.49392,0.65209,0.49331,0.28215,0.93486,1.40419,0.98867,0.0004505,0.0004505,0.0004505
6,2098.46,1.29719,1.41049,1.22671,0.50337,0.71453,0.63525,0.30004,0.95503,1.14578,1.00758,0.000438125,0.000438125,0.000438125
7,2340.56,1.25134,1.33769,1.16965,0.48254,0.60295,0.51807,0.29316,0.95289,1.32913,0.96412,0.00042575,0.00042575,0.00042575
8,2605.6,1.29359,1.37539,1.24893,0.49519,0.71413,0.7082,0.34102,0.92271,1.56183,0.97676,0.000413375,0.000413375,0.000413375
9,2848.35,1.28535,1.39892,1.21786,0.74936,0.54018,0.74689,0.39551,0.94202,1.22771,0.99394,0.000401,0.000401,0.000401
10,3090.63,1.28783,1.45257,1.20935,0.70857,0.59418,0.65055,0.37229,0.90453,1.06531,0.92534,0.000388625,0.000388625,0.000388625
11,3332.53,1.21304,1.30678,1.17553,0.63048,0.78331,0.68514,0.33258,0.91308,1.03956,0.97105,0.00037625,0.00037625,0.00037625
12,3575.28,1.24891,1.31457,1.20237,0.46969,0.75657,0.7563,0.40594,0.91765,1.29837,0.96632,0.000363875,0.000363875,0.000363875
13,3817.62,1.24269,1.26805,1.20087,0.76772,0.5664,0.70057,0.4124,0.84967,1.0352,0.92099,0.0003515,0.0003515,0.0003515
